n,p-or-m,type,seed,m,err-dm,err-es,time-brandes,time-dm,time-es
500,0.700000,random,4106915542,87301,5.318892e-21,5.806016e-26,0.564182,1.011669,1.683717
500,0.700000,random,3922462850,87246,6.760505e-21,6.038257e-26,0.524412,0.910957,1.670382
500,0.800000,random,3007464741,99670,6.157776e-21,2.064922e-26,0.492273,0.915053,1.358707
500,0.800000,random,1016952273,99729,5.757966e-21,2.206286e-26,0.492120,1.038860,1.286425
500,0.800000,random,891779103,99889,5.434213e-21,2.595037e-26,0.479743,1.102681,1.240846
500,0.800000,random,18697989,99413,7.537327e-21,2.075020e-26,0.483163,0.816554,1.220920
500,0.800000,random,1556383304,99786,6.251837e-21,2.483965e-26,0.474290,0.840483,1.184984
500,0.800000,random,3710378145,100025,5.113806e-21,2.150750e-26,0.483045,0.925981,1.304380
500,0.800000,random,1620670456,99723,5.497945e-21,2.483965e-26,0.477508,1.139412,1.209224
100,0.900000,random,2961951705,4438,5.237445e-27,7.099748e-30,0.003142,0.005073,0.002337
100,0.900000,random,2082776404,4451,5.479625e-27,8.874685e-30,0.005498,0.013183,0.001977
100,0.900000,random,549962990,4472,6.298660e-27,1.183291e-29,0.003070,0.004995,0.001850
100,0.900000,random,3220458234,4459,6.085273e-27,6.310887e-30,0.006285,0.009429,0.004242
100,0.900000,random,225482814,4451,8.189954e-27,9.466331e-30,0.006154,0.009465,0.004345
100,0.900000,random,2904964436,4456,8.952980e-27,6.310887e-30,0.003096,0.005002,0.002158
100,0.900000,random,1313470991,4451,2.578786e-27,7.099748e-30,0.006090,0.009759,0.005133
100,0.900000,random,1857610234,4455,3.933260e-27,9.466331e-30,0.005257,0.008287,0.002538
100,0.900000,random,1930997914,4447,4.369501e-27,1.025519e-29,0.005968,0.028556,0.002398
100,0.900000,random,1409210157,4454,4.444442e-27,6.310887e-30,0.006476,0.009760,0.001646
500,0.800000,random,1321574973,99433,7.030709e-21,2.317358e-26,0.497994,0.813214,1.294697
300,0.900000,random,1978727759,40394,9.881272e-26,4.133631e-28,0.078753,0.141105,0.084559
300,0.900000,random,2136195135,40221,4.364547e-25,5.332700e-28,0.078379,0.152106,0.071695
300,0.900000,random,1095005225,40446,3.263360e-25,6.279333e-28,0.075000,0.140507,0.083952
300,0.900000,random,1641664115,40377,8.467917e-25,6.026897e-28,0.081365,0.141541,0.058350
300,0.900000,random,3612596829,40313,1.502565e-24,7.005085e-28,0.077272,0.147534,0.065526
300,0.900000,random,2060143458,40327,1.928216e-24,6.184669e-28,0.078805,0.144745,0.080987
300,0.900000,random,2899514334,40419,3.479293e-24,5.490472e-28,0.077155,0.147664,0.086183
300,0.900000,random,2996913208,40398,2.027877e-24,4.386067e-28,0.080457,0.163216,0.074482
300,0.900000,random,1270272509,40357,5.449420e-25,4.102077e-28,0.078836,0.143878,0.090331
300,0.900000,random,2191225778,40447,9.498453e-25,5.238036e-28,0.080535,0.155430,0.059622
500,0.800000,random,3004301461,99859,6.008167e-21,1.943753e-26,0.479194,0.909552,1.159567
500,0.900000,random,520822527,112394,2.806855e-23,2.511733e-27,0.354322,0.762569,0.512092
500,0.900000,random,2848909667,112225,4.178412e-23,3.092335e-27,0.371367,1.082407,0.459741
500,0.800000,random,373562867,100025,5.842929e-21,2.337553e-26,0.532189,1.213301,1.252891
500,0.900000,random,1467565417,112445,2.148471e-23,2.701060e-27,0.354722,0.726160,0.431135
500,0.900000,random,1229537575,112110,7.308796e-23,4.026346e-27,0.363730,0.739018,0.484484
500,0.900000,random,1769601345,112359,2.119530e-23,2.726303e-27,0.358070,1.015021,0.421023
500,0.900000,random,2467476642,112361,1.618677e-23,2.625329e-27,0.347844,1.029320,0.572978
500,0.900000,random,2188554715,112348,2.186283e-23,2.928252e-27,0.357628,0.733200,0.452532
100,2.000000,scale-free,418014293,196,6.232528e-25,7.941660e-27,0.001367,0.009979,0.003923
100,2.000000,scale-free,1830178981,196,9.429545e-23,1.704334e-27,0.001825,0.006684,0.003994
100,2.000000,scale-free,1896072949,196,3.012512e-23,1.622549e-26,0.001368,0.005621,0.004356
100,2.000000,scale-free,2905237262,196,3.031142e-24,1.364729e-28,0.000687,0.006921,0.002534
